,icc,pval
original_firstorder_10Percentile,0.8638820576599492,1.0
original_firstorder_Energy,0.9971158988888978,0.25
original_firstorder_Entropy,0.9365951395262002,1.0
original_firstorder_InterquartileRange,0.8950772129758617,0.75
original_firstorder_Kurtosis,0.9803934138343495,0.75
original_firstorder_Mean,0.9714714036691202,0.75
original_firstorder_MeanAbsoluteDeviation,0.8133926691221145,1.0
original_firstorder_Median,0.9945232178531401,0.25
original_firstorder_RobustMeanAbsoluteDeviation,0.8681824665500374,1.0
original_firstorder_RootMeanSquared,0.9119421096349767,1.0
original_firstorder_Skewness,0.9909794168541545,0.75
original_firstorder_TotalEnergy,0.9975770153254289,0.25
original_firstorder_Uniformity,0.970867616054014,0.75
original_glcm_Autocorrelation,0.9749945368329792,0.75
original_glcm_ClusterShade,0.9819726629373581,0.5
original_glcm_Correlation,0.9618028811999974,0.5
original_glcm_DifferenceAverage,0.8847108062973363,0.75
original_glcm_DifferenceEntropy,0.9050255269913312,0.75
original_glcm_Id,0.9667545670318416,0.75
original_glcm_Idm,0.9750650785237448,0.75
original_glcm_Idmn,0.9251769066380082,1.0
original_glcm_Idn,0.9626518359105574,1.0
original_glcm_Imc1,0.9940956230289452,1.0
original_glcm_Imc2,0.9918749883100755,0.75
original_glcm_InverseVariance,0.9681478706606998,0.75
original_glcm_JointAverage,0.9753565765580154,0.75
original_glcm_JointEnergy,0.9797321825060553,0.75
original_glcm_JointEntropy,0.8150097445499996,0.75
original_glcm_MaximumProbability,0.9785536490800824,0.25
original_glcm_SumAverage,0.9753565765580153,0.75
original_glcm_SumEntropy,0.9485651913610991,0.75
original_gldm_DependenceEntropy,0.9614258940895941,0.25
original_gldm_DependenceNonUniformity,0.9970013299360253,0.25
original_gldm_DependenceNonUniformityNormalized,0.9681595823731235,0.75
original_gldm_DependenceVariance,0.9960465428993108,0.5
original_gldm_GrayLevelNonUniformity,0.9978858173213778,0.5
original_gldm_HighGrayLevelEmphasis,0.9669739935895845,0.25
original_gldm_LargeDependenceEmphasis,0.995922863287688,1.0
original_gldm_LargeDependenceHighGrayLevelEmphasis,0.9964766453257586,1.0
original_gldm_SmallDependenceEmphasis,0.9720229811286971,1.0
original_gldm_SmallDependenceHighGrayLevelEmphasis,0.8742916259997512,0.25
original_glrlm_GrayLevelNonUniformity,0.9977684326119679,0.5
original_glrlm_GrayLevelNonUniformityNormalized,0.9662924889933253,0.75
original_glrlm_HighGrayLevelRunEmphasis,0.9642383250048375,0.25
original_glrlm_LongRunEmphasis,0.9930995488751082,0.75
original_glrlm_LongRunHighGrayLevelEmphasis,0.9831080597846044,0.5
original_glrlm_RunEntropy,0.8765579482255719,1.0
original_glrlm_RunLengthNonUniformity,0.9973916779800179,0.25
original_glrlm_RunLengthNonUniformityNormalized,0.9904908834354702,0.75
original_glrlm_RunPercentage,0.9917193926469645,0.75
original_glrlm_RunVariance,0.9939855301870475,1.0
original_glrlm_ShortRunEmphasis,0.9912181553211152,0.75
original_glrlm_ShortRunHighGrayLevelEmphasis,0.9537160111842627,0.25
original_glszm_GrayLevelNonUniformity,0.9969196721129169,0.5
original_glszm_HighGrayLevelZoneEmphasis,0.9059832722946831,0.25
original_glszm_LargeAreaEmphasis,0.9140227922579415,0.75
original_glszm_LargeAreaHighGrayLevelEmphasis,0.9097418848244486,0.75
original_glszm_LargeAreaLowGrayLevelEmphasis,0.999127329076742,0.75
original_glszm_SizeZoneNonUniformity,0.9972234979014512,0.25
original_glszm_SizeZoneNonUniformityNormalized,0.8960029481258859,1.0
original_glszm_SmallAreaEmphasis,0.9139239735033433,1.0
original_glszm_ZoneEntropy,0.9794837285386729,0.25
original_glszm_ZonePercentage,0.9812472830422413,0.75
original_glszm_ZoneVariance,0.9136646179011024,0.75
original_ngtdm_Busyness,0.9985966198091139,0.25
original_ngtdm_Coarseness,0.9894528024901823,0.25
original_ngtdm_Strength,0.9882934947767661,0.5
original_shape_Elongation,0.9144251641212975,0.75
original_shape_Flatness,0.8557250074130158,0.75
original_shape_LeastAxisLength,0.9994637858747843,0.75
original_shape_MajorAxisLength,0.8609754331055874,1.0
original_shape_Maximum2DDiameterColumn,0.9978103176921196,1.0
original_shape_Maximum2DDiameterRow,0.9559231867273108,1.0
original_shape_Maximum2DDiameterSlice,0.9490487554160901,0.75
original_shape_Maximum3DDiameter,0.9339594861507452,1.0
original_shape_MeshVolume,0.998308046730724,0.25
original_shape_MinorAxisLength,0.997375858642418,0.5
original_shape_SurfaceArea,0.9909975922985818,0.75
original_shape_SurfaceVolumeRatio,0.998235510504864,0.25
original_shape_VoxelVolume,0.9983076873182536,0.25
